state,age_0_5,age_5_17,age_18_greater,total_enrolments
Uttar Pradesh,511727,473205,17699,1002631
Bihar,254911,327043,11799,593753
Madhya Pradesh,363244,115172,9476,487892
West Bengal,270405,90327,8495,369227
Maharashtra,274274,81069,8103,363446
Rajasthan,224977,110131,5483,340591
Gujarat,188709,70270,16063,275042
Assam,137970,64834,22555,225359
Karnataka,176140,33398,10038,219576
Tamil Nadu,178294,36214,1202,215710
Jharkhand,96013,56142,1412,153567
Telangana,103768,24035,1145,128948
Andhra Pradesh,109393,13414,1465,124272
Odisha,94020,21647,726,116393
Meghalaya,21072,53089,35078,109239
Chhattisgarh,79653,18158,1962,99773
Haryana,85112,8897,1076,95085
Delhi,67844,21971,3023,92838
Punjab,60481,12175,3117,75773
Kerala,52950,18360,2640,73950
Jammu And Kashmir,39188,7782,522,47492
Uttarakhand,31208,5410,338,36956
Himachal Pradesh,16081,650,178,16909
Nagaland,4453,9856,1120,15429
Manipur,5044,7895,260,13199
Tripura,7165,3597,246,11008
Mizoram,4044,1259,471,5774
Arunachal Pradesh,1914,2176,150,4240
Orissa,3474,580,0,4054
Chandigarh,2377,210,33,2620
Goa,1871,253,156,2280
Sikkim,1040,1030,105,2175
Puducherry,1565,114,44,1723
Pondicherry,1181,79,0,1260
Dadra And Nagar Haveli,664,70,4,738
The Dadra And Nagar Haveli And Daman And Diu,548,141,27,716
Ladakh,466,133,18,617
Andaman And Nicobar Islands,363,27,0,390
100000,0,1,213,214
Lakshadweep,188,10,1,199
Dadra And Nagar Haveli And Daman And Diu,130,20,19,169
Jammu & Kashmir,126,20,0,146
Daman And Diu,100,13,0,113
Andaman & Nicobar Islands,106,5,0,111
Dadra & Nagar Haveli,22,3,0,25
Daman & Diu,20,1,0,21
West Bangal,7,3,0,10
Westbengal,4,3,0,7
